坑口(北) (將軍澳醫院) (TK950)	坑口(北) (将军澳医院) (TK950)
觀塘轉車站 - 牛頭角站 (KT645)	观塘转车站 - 牛头角站 (KT645)
長沙灣(蘇屋邨)巴士總站 (SS940)	长沙湾(苏屋邨)巴士总站 (SS940)
長沙灣(蘇屋邨)巴士總站 (SS941)	长沙湾(苏屋邨)巴士总站 (SS941)
長沙灣(麗閣邨)巴士總站 (SS905)	长沙湾(丽阁邨)巴士总站 (SS905)
青嶼幹線轉車站 (A1) (TW606)	青屿干线转车站 (A1) (TW606)
青嶼幹線轉車站 (A2) (TW605)	青屿干线转车站 (A2) (TW605)
青嶼幹線轉車站 (A3) (TW604)	青屿干线转车站 (A3) (TW604)
青嶼幹線轉車站 (A4) (TW603)	青屿干线转车站 (A4) (TW603)
青嶼幹線轉車站 (A5) (TW602)	青屿干线转车站 (A5) (TW602)
青嶼幹線轉車站 (A6) (TW601)	青屿干线转车站 (A6) (TW601)
青嶼幹線轉車站 (A7) (TW600)	青屿干线转车站 (A7) (TW600)
青嶼幹線轉車站 (N1) (TW706)	青屿干线转车站 (N1) (TW706)
青嶼幹線轉車站 (N2) (TW705)	青屿干线转车站 (N2) (TW705)
青嶼幹線轉車站 (N3) (TW704)	青屿干线转车站 (N3) (TW704)
青嶼幹線轉車站 (N4) (TW703)	青屿干线转车站 (N4) (TW703)
青嶼幹線轉車站 (N5) (TW702)	青屿干线转车站 (N5) (TW702)
青嶼幹線轉車站 (N6) (TW701)	青屿干线转车站 (N6) (TW701)
青嶼幹線轉車站 (N7) (TW700)	青屿干线转车站 (N7) (TW700)
青沙公路轉車站 (A1) (TA755)	青沙公路转车站 (A1) (TA755)
青沙公路轉車站 (A2) (TA754)	青沙公路转车站 (A2) (TA754)
青沙公路轉車站 (A3) (TA753)	青沙公路转车站 (A3) (TA753)
青沙公路轉車站 (A4) (TA752)	青沙公路转车站 (A4) (TA752)
青沙公路轉車站 (B1) (TA296)	青沙公路转车站 (B1) (TA296)
青沙公路轉車站 (B2) (TA295)	青沙公路转车站 (B2) (TA295)
青沙公路轉車站 (B3) (TA294)	青沙公路转车站 (B3) (TA294)
青沙公路轉車站 (B4) (TA293)	青沙公路转车站 (B4) (TA293)
青沙公路轉車站 (B5) (TA292)	青沙公路转车站 (B5) (TA292)
青衣轉車站 - 長安總站 (TY900)	青衣转车站 - 长安总站 (TY900)
青衣轉車站 - 長安總站 (TY901)	青衣转车站 - 长安总站 (TY901)
青衣轉車站 - 長安總站 (TY902)	青衣转车站 - 长安总站 (TY902)
青衣轉車站 - 長安總站 (TY903)	青衣转车站 - 长安总站 (TY903)
青衣轉車站 - 長安總站 (TY904)	青衣转车站 - 长安总站 (TY904)
青衣轉車站 - 長安總站 (TY905)	青衣转车站 - 长安总站 (TY905)
青衣轉車站 - 長安總站 (TY906)	青衣转车站 - 长安总站 (TY906)
青衣轉車站 - 長安總站 (TY907)	青衣转车站 - 长安总站 (TY907)
青衣轉車站 - 長安總站 (TY908)	青衣转车站 - 长安总站 (TY908)
青衣轉車站 - 長安總站 (TY909)	青衣转车站 - 长安总站 (TY909)
青衣轉車站 - 長安總站 (TY910)	青衣转车站 - 长安总站 (TY910)
青衣轉車站 - 長安總站 (TY911)	青衣转车站 - 长安总站 (TY911)
青衣轉車站 - 長安總站 (TY912)	青衣转车站 - 长安总站 (TY912)
青衣轉車站 - 長安總站 (TY913)	青衣转车站 - 长安总站 (TY913)
青衣轉車站 - 長安總站 (TY914)	青衣转车站 - 长安总站 (TY914)
高鐵(西九龍站)巴士總站 (YT950)	高铁(西九龙站)巴士总站 (YT950)
高鐵(西九龍站)巴士總站 (YT951)	高铁(西九龙站)巴士总站 (YT951)
高鐵(西九龍站)巴士總站 (YT952)	高铁(西九龙站)巴士总站 (YT952)
高鐵(西九龍站)巴士總站 (YT953)	高铁(西九龙站)巴士总站 (YT953)
高鐵(西九龍站)巴士總站 (YT954)	高铁(西九龙站)巴士总站 (YT954)
高鐵(西九龍站)巴士總站 (YT955)	高铁(西九龙站)巴士总站 (YT955)
